img_name,assigned_label,similarity
B_SECTION_face1.jpg,AD074,0.693
B_SECTION_face10.jpg,AD122,0.891
B_SECTION_face11.jpg,AD109,0.787
B_SECTION_face12.jpg,AD091,0.607
B_SECTION_face13.jpg,AD092,0.754
B_SECTION_face14.jpg,Unknown,0.192
B_SECTION_face15.jpg,Unknown,0.233
B_SECTION_face16.jpg,AD073,0.83
B_SECTION_face17.jpg,AD102,0.826
B_SECTION_face18.jpg,AD086,0.911
B_SECTION_face19.jpg,AD125,0.759
B_SECTION_face2.jpg,AD111,0.794
B_SECTION_face20.jpg,AD094,0.919
B_SECTION_face21.jpg,AD077,0.804
B_SECTION_face22.jpg,AD113,0.777
B_SECTION_face23.jpg,AD099,0.856
B_SECTION_face24.jpg,AD119,0.833
B_SECTION_face25.jpg,AD076,0.815
B_SECTION_face26.jpg,AD093,0.921
B_SECTION_face27.jpg,AD088,0.695
B_SECTION_face28.jpg,AD124,0.956
B_SECTION_face29.jpg,AD107,0.862
B_SECTION_face3.jpg,AD118,0.816
B_SECTION_face30.jpg,AD079,0.825
B_SECTION_face31.jpg,AD105,0.915
B_SECTION_face32.jpg,AD110,0.723
B_SECTION_face4.jpg,AD075,0.861
B_SECTION_face5.jpg,AD067,0.836
B_SECTION_face6.jpg,AD084,0.649
B_SECTION_face7.jpg,AD104,0.793
B_SECTION_face8.jpg,AD071,0.831
B_SECTION_face9.jpg,AD106,0.9
